group,rank,term,mean_product_term_share,mean_product_term_per_million,group_tfidf,product_count,review_count
positive_4_5,1,great,0.02116792557526002,21167.925575260022,0.48035413583860337,40618,2066340
positive_4_5,2,sound,0.016916437910430526,16916.437910430526,0.3838770542272387,40618,2066340
positive_4_5,3,good,0.016603372648594603,16603.372648594603,0.37677280620937725,40618,2066340
positive_4_5,4,quality,0.009961574028235068,9961.574028235067,0.22605348204349743,40618,2066340
positive_4_5,5,love,0.008781640029022101,8781.6400290221,0.1992777748763784,40618,2066340
positive_4_5,6,price,0.0068662430543508434,6866.2430543508435,0.15581253992527785,40618,2066340
positive_4_5,7,like,0.006590277954442675,6590.277954442676,0.14955018905784415,40618,2066340
positive_4_5,8,ear,0.006465982289249734,6465.982289249734,0.146729603893277,40618,2066340
positive_4_5,9,work,0.005688211087121729,5688.211087121729,0.12907999470743403,40618,2066340
positive_4_5,10,comfortable,0.004807290885578966,4807.290885578966,0.10908967205392836,40618,2066340
positive_4_5,11,works,0.004774391585641448,4774.391585641448,0.10834310315963616,40618,2066340
positive_4_5,12,just,0.004712854179402273,4712.854179402273,0.10694666270586228,40618,2066340
positive_4_5,13,sound quality,0.004572905937713604,4572.9059377136045,0.10377088072101529,40618,2066340
positive_4_5,14,nice,0.004374048128870673,4374.048128870673,0.09925829064307465,40618,2066340
positive_4_5,15,really,0.00411410811088767,4114.10811088767,0.09335958969270707,40618,2066340
positive_4_5,16,ears,0.003812940599166335,3812.940599166335,0.08652533192279863,40618,2066340
positive_4_5,17,pair,0.0037547353807803074,3754.7353807803074,0.08520450729689412,40618,2066340
positive_4_5,18,fit,0.0037383902748932113,3738.3902748932114,0.0848335952211845,40618,2066340
positive_4_5,19,perfect,0.0032910088625709745,3291.0088625709745,0.0746813717100877,40618,2066340
positive_4_5,20,music,0.003176649589325116,3176.6495893251163,0.07208626858201606,40618,2066340
positive_4_5,21,excellent,0.003074293836135623,3074.293836135623,0.06976355589122163,40618,2066340
positive_4_5,22,noise,0.002996628796911219,2996.628796911219,0.06800113837568048,40618,2066340
positive_4_5,23,bass,0.002940177110737131,2940.177110737131,0.06672010586106888,40618,2066340
positive_4_5,24,better,0.002932310977063623,2932.3109770636233,0.06654160325675396,40618,2066340
positive_4_5,25,phone,0.002932190964276772,2932.190964276772,0.06653887986100539,40618,2066340
positive_4_5,26,loves,0.002908409283790691,2908.409283790691,0.06599921297026232,40618,2066340
positive_4_5,27,easy,0.0028210759412003682,2821.075941200368,0.0640173970308251,40618,2066340
positive_4_5,28,time,0.002820043381479657,2820.043381479657,0.06399396562132866,40618,2066340
positive_4_5,29,best,0.0027719026346244803,2771.9026346244805,0.0629015294838325,40618,2066340
positive_4_5,30,little,0.00262561351436765,2625.61351436765,0.059581856817102805,40618,2066340
positive_4_5,31,don't,0.0025442601585127377,2544.2601585127377,0.05773574200484507,40618,2066340
positive_4_5,32,battery,0.0025400359323068124,2540.0359323068124,0.057639883555158075,40618,2066340
positive_4_5,33,buds,0.002534599217482349,2534.599217482349,0.05751651065109051,40618,2066340
positive_4_5,34,it's,0.0023165416724300726,2316.5416724300726,0.05256822966605653,40618,2066340
positive_4_5,35,recommend,0.002304664076221209,2304.664076221209,0.052298696761546665,40618,2066340
positive_4_5,36,great sound,0.002216059190582539,2216.059190582539,0.05028802627233323,40618,2066340
positive_4_5,37,i'm,0.0021978128370014503,2197.81283700145,0.049873970044882525,40618,2066340
positive_4_5,38,got,0.0021579460135873634,2157.9460135873633,0.048969290299972344,40618,2066340
positive_4_5,39,awesome,0.002098406007990112,2098.4060079901124,0.047618175953183454,40618,2066340
positive_4_5,40,volume,0.0020748402705470293,2074.8402705470294,0.0470834093599892,40618,2066340
positive_4_5,41,hear,0.0020688670930174937,2068.8670930174935,0.04694786275103078,40618,2066340
positive_4_5,42,long,0.0020672624135835323,2067.262413583532,0.04691144848832667,40618,2066340
positive_4_5,43,set,0.002046537780001601,2046.5377800016008,0.04644115377666841,40618,2066340
positive_4_5,44,i've,0.002014223227014583,2014.2232270145828,0.04570785427975259,40618,2066340
positive_4_5,45,case,0.001964832262115768,1964.8322621157681,0.044587047511141606,40618,2066340
positive_4_5,46,amazing,0.001937301926352487,1937.3019263524868,0.043962314086134976,40618,2066340
positive_4_5,47,clear,0.0018977502772864992,1897.7502772864993,0.043064786449780804,40618,2066340
positive_4_5,48,bluetooth,0.0018892273868606195,1889.2273868606196,0.04287138036231065,40618,2066340
positive_4_5,49,pretty,0.001864758729632604,1864.758729632604,0.04231612421989339,40618,2066340
positive_4_5,50,far,0.0018490282369122292,1849.0282369122292,0.041959159282061106,40618,2066340
positive_4_5,51,headset,0.001835633993816052,1835.633993816052,0.04165520979750717,40618,2066340
positive_4_5,52,happy,0.0017865617840402547,1786.5617840402547,0.040541636394353604,40618,2066340
positive_4_5,53,daughter,0.0016779210813028251,1677.921081302825,0.038076302193569715,40618,2066340
positive_4_5,54,life,0.001649389922318984,1649.389922318984,0.0374288575410727,40618,2066340
positive_4_5,55,son,0.0016000231299234291,1600.0231299234292,0.03630859930811644,40618,2066340
positive_4_5,56,head,0.001588816457289177,1588.8164572891772,0.036054291368034494,40618,2066340
positive_4_5,57,wear,0.001522701426486303,1522.701426486303,0.03455397295589991,40618,2066340
positive_4_5,58,good sound,0.0015221387570701372,1522.1387570701372,0.03454120455399844,40618,2066340
positive_4_5,59,ear buds,0.0014810172709460402,1481.01727094604,0.033608053317175035,40618,2066340
